Puntaje estudiante;;;;;;;;;;Municipio estudiante;;;Departamento estudiante;
Puntaje total;ESTU_CONSECUTIVO;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_BIOLOGIA;PUNT_QUIMICA;PUNT_FISICA;PUNT_INGLES;CODIGO;ESTU_RESIDE_MCPIO;;CODIGO;DEPARTAMENTO
383;SABER1120121000058;59;49;44;53;42;49;52;35;58;CUCUTA;;;
404;SABER1120121000059;52;54;50;48;51;41;47;61;59;PATIA(EL BORDO);;;
432;SABER1120121000060;56;54;52;60;51;55;54;50;60;ARGELIA;;;
443;SABER1120121000061;61;46;64;60;47;53;60;52;61;LA SIERRA;;;
389;SABER1120121000062;54;49;40;55;57;47;47;40;62;POPAYAN;;;
298;SABER1120121000063;38;33;44;30;37;40;43;33;63;BUGA;;;
365;SABER1120121000064;54;60;45;30;47;48;46;35;64;BOLIVAR;;;
451;SABER1120121000065;54;68;52;48;53;58;62;56;65;SAN CARLOS;;;
400;SABER1120121000066;54;43;49;50;55;50;49;50;66;PLANETA RICA;;;
327;SABER1120121000067;50;43;49;32;39;42;33;39;67;CIENAGA DE ORO;;;
384;SABER1120121000068;59;40;54;52;45;44;43;47;68;CAUCASIA;;;
430;SABER1120121000069;63;44;51;61;58;56;47;50;69;CERETE;;;
372;SABER1120121000070;52;46;50;39;51;52;39;43;70;ANDES;;;
458;SABER1120121000071;61;62;56;57;49;57;60;56;71;SAMANIEGO;;;
339;SABER1120121000072;44;54;45;30;42;35;46;43;72;PROVIDENCIA;;;
468;SABER1120121000073;61;68;58;58;53;60;57;53;73;SANTACRUZ (GUACHAVES);;;
418;SABER1120121000074;63;57;58;67;51;32;43;47;74;VILLAGARZON;;;
339;SABER1120121000075;48;40;40;46;42;44;39;40;75;SIBUNDOY;;;
409;SABER1120121000076;56;52;48;55;53;50;52;43;76;COLON;;;
530;SABER1120121000077;65;71;60;55;61;61;69;88;77;SANTIAGO;;;
368;SABER1120121000078;54;49;51;41;42;44;42;45;78;SAN FRANCISCO;;;
443;SABER1120121000079;61;71;58;43;60;49;50;51;79;TOCANCIPA;;;
373;SABER1120121000080;44;57;51;27;54;48;49;43;80;COTA;;;
311;SABER1120121000081;44;33;33;36;34;42;49;40;81;GIRON;;;
345;SABER1120121000082;52;33;44;39;51;47;44;35;82;CAICEDONIA;;;
486;SABER1120121000083;63;78;62;60;54;57;60;52;83;ITSMINA;;;
371;SABER1120121000084;59;34;48;41;48;49;52;40;84;BAJO BAUDO   (PIZARRO);;;
421;SABER1120121000085;66;54;53;57;49;47;43;52;85;MANIZALES;;;
345;SABER1120121000086;50;46;40;38;30;45;49;47;86;SAN MIGUEL DE SEMA;;;
432;SABER1120121000087;68;54;48;67;45;53;54;43;87;GINEBRA;;;
384;SABER1120121000088;54;52;42;34;51;45;36;70;88;MADRID;;;
429;SABER1120121000089;48;65;52;46;55;56;50;57;89;LETICIA;;;
366;SABER1120121000090;52;43;50;42;44;37;51;47;90;COLON (GENOVA);;;
347;SABER1120121000091;52;40;40;34;46;50;52;33;91;CURUMANI;;;
383;SABER1120121000092;66;47;49;45;51;48;40;37;92;SANTANDER DE QUILICHAO;;;
517;SABER1120121000093;72;69;57;61;51;60;75;72;93;GUACARI;;;
392;SABER1120121000094;54;54;44;47;53;53;28;59;94;PIJAO;;;
330;SABER1120121000095;46;46;44;41;42;38;33;40;95;CALARCA;;;
423;SABER1120121000096;59;52;52;46;51;52;60;51;96;BUENAVISTA;;;
419;SABER1120121000097;56;59;49;47;53;55;39;61;97;SEVILLA;;;
386;SABER1120121000098;50;49;51;48;42;43;47;56;98;SANTA ROSA DE VITERBO;;;
532;SABER1120121000099;63;69;55;72;73;61;69;70;99;DUITAMA;;;
410;SABER1120121000100;66;59;48;57;56;45;48;31;100;NOBSA;;;
301;SABER1120121000101;39;44;41;26;34;45;39;33;101;ATACO;;;
412;SABER1120121000102;52;57;57;52;37;50;52;55;102;SOLEDAD;;;
359;SABER1120121000103;52;44;49;22;56;48;45;43;103;EL RETORNO;;;
340;SABER1120121000104;48;43;44;36;42;42;46;39;104;CUMARAL;;;
404;SABER1120121000105;54;60;49;43;51;50;47;50;105;FLORENCIA;;;
359;SABER1120121000106;50;51;44;40;42;53;32;47;106;GACHETA;;;
346;SABER1120121000107;46;46;40;38;49;38;46;43;107;CHOCONTA;;;
395;SABER1120121000108;44;49;58;46;51;52;47;48;108;GACHANCIPA;;;
578;SABER1120121000109;61;91;73;63;66;77;72;75;109;CAJICA;;;
358;SABER1120121000110;48;40;45;49;53;50;23;50;110;SAN PABLO DE BORBUR;;;
336;SABER1120121000111;41;46;54;45;40;44;33;33;111;OTANCHE;;;
390;SABER1120121000112;61;49;50;45;51;42;49;43;112;LOS PATIOS;;;
368;SABER1120121000113;52;40;56;43;49;52;43;33;113;SANTA MARIA;;;
434;SABER1120121000114;63;62;56;43;58;57;49;46;114;PAIPA;;;
420;SABER1120121000115;54;59;47;31;53;68;60;48;115;TUTA;;;
391;SABER1120121000116;56;52;55;44;56;41;54;33;116;FACATATIVA;;;
352;SABER1120121000117;50;46;44;41;44;45;42;40;117;SOGAMOSO;;;
401;SABER1120121000118;59;60;57;39;51;41;57;37;118;SOACHA;;;
432;SABER1120121000119;65;65;58;50;46;62;49;37;119;FUNZA;;;
346;SABER1120121000120;48;37;47;46;46;49;36;37;120;SIBATE;;;
385;SABER1120121000121;59;49;52;48;51;52;39;35;121;PUERTO TEJADA;;;
518;SABER1120121000122;68;78;62;61;63;68;66;52;122;RIOHACHA;;;
455;SABER1120121000123;54;63;57;60;56;63;63;39;123;SANTA SOFIA;;;
341;SABER1120121000124;54;43;48;29;39;47;39;42;124;PEREIRA;;;
392;SABER1120121000125;48;46;50;48;49;52;60;39;125;LIBANO;;;
358;SABER1120121000126;61;40;49;43;39;52;32;42;126;MOSQUERA;;;
371;SABER1120121000127;54;46;45;46;44;50;47;39;127;SAHAGUN;;;
352;SABER1120121000128;57;46;48;30;47;44;37;43;128;FLORIDABLANCA;;;
367;SABER1120121000129;52;49;42;41;45;53;37;48;129;LANDAZURI;;;
330;SABER1120121000130;44;51;42;29;42;38;42;42;130;TOLEDO;;;
339;SABER1120121000131;52;55;42;32;42;41;36;39;131;ACACIAS;;;
323;SABER1120121000132;52;43;47;34;42;47;47;11;132;QUIBDO;;;
356;SABER1120121000133;61;54;45;32;37;45;36;46;133;SOCORRO;;;
343;SABER1120121000134;41;44;42;40;46;45;45;40;134;TIBU;;;
318;SABER1120121000135;46;37;51;18;44;50;33;39;135;CANDELARIA;;;
330;SABER1120121000136;54;43;45;33;45;38;37;35;136;LA ARGENTINA;;;
318;SABER1120121000137;41;37;40;26;37;47;59;31;137;LA ESTRELLA;;;
323;SABER1120121000138;32;34;44;33;45;47;46;42;138;SAN PEDRO DE URABA;;;
421;SABER1120121000139;52;54;51;32;61;53;59;59;139;TESALIA;;;
313;SABER1120121000140;36;41;36;41;40;42;40;37;140;LA DORADA;;;
289;SABER1120121000141;35;33;38;29;37;44;36;37;141;GALAPA;;;
349;SABER1120121000142;52;55;28;26;46;45;54;43;142;NEMOCON;;;
336;SABER1120121000143;52;41;44;41;34;45;36;43;143;SAN GIL;;;
296;SABER1120121000144;41;37;36;18;44;40;47;33;144;ARATOCA;;;
368;SABER1120121000145;46;49;46;41;58;39;42;47;145;ENVIGADO;;;
358;SABER1120121000146;54;46;45;37;46;45;42;43;146;MAICAO;;;
295;SABER1120121000147;46;40;42;34;39;38;36;20;147;AIPE;;;
289;SABER1120121000148;31;40;38;33;37;38;43;29;148;ARBOLETES;;;
317;SABER1120121000149;56;40;44;29;39;30;44;35;149;LOS CORDOBAS;;;
309;SABER1120121000150;38;37;38;35;42;35;45;39;150;LOS SANTOS;;;
314;SABER1120121000151;46;37;34;41;42;47;36;31;151;MAHATES;;;
325;SABER1120121000152;52;40;44;32;42;40;44;31;152;AGUSTIN CODAZZI;;;
318;SABER1120121000153;48;37;42;36;51;40;33;31;153;DOS QUEBRADAS;;;
366;SABER1120121000154;44;40;55;50;39;44;54;40;154;CLEMENCIA;;;
325;SABER1120121000155;50;52;44;22;37;45;36;39;155;GUADALUPE;;;
328;SABER1120121000156;36;52;41;34;44;43;36;42;156;PITALITO;;;
297;SABER1120121000157;41;37;44;37;39;40;36;23;157;ESPINAL;;;
282;SABER1120121000158;35;43;38;33;40;29;29;35;158;CAMPOALEGRE;;;
364;SABER1120121000159;54;47;41;41;49;48;37;47;159;IPIALES;;;
293;SABER1120121000160;35;46;36;36;36;37;32;35;160;SAN PEDRO;;;
337;SABER1120121000161;41;55;42;29;56;35;39;40;161;SAN LUIS;;;
309;SABER1120121000162;46;46;36;22;36;39;39;45;162;SONSON;;;
318;SABER1120121000163;46;37;48;32;36;37;39;43;163;PUERTO LIBERTADOR;;;
363;SABER1120121000164;46;46;47;41;51;47;40;45;164;BOJACÁ;;;
317;SABER1120121000165;48;41;39;37;42;37;42;31;165;FUSAGASUGA;;;
271;SABER1120121000166;44;41;36;18;39;40;18;35;166;VIANI;;;
342;SABER1120121000167;50;46;40;36;51;49;39;31;167;ITAGUI;;;
305;SABER1120121000168;41;34;36;34;51;25;42;42;168;LA CEJA;;;
328;SABER1120121000169;50;46;42;34;44;41;32;39;169;PUERTO RICO;;;
327;SABER1120121000170;50;37;41;42;39;43;36;39;170;TIMBIO;;;
324;SABER1120121000171;52;52;44;41;34;36;25;40;171;CHINCHINA;;;
283;SABER1120121000172;44;43;34;39;30;38;29;26;172;LA CUMBRE;;;
471;SABER1120121000173;52;74;54;48;57;56;65;65;173;PELAYA;;;
316;SABER1120121000174;44;46;44;46;42;19;36;39;174;EL CARMEN;;;
248;SABER1120121000175;35;37;31;12;36;39;29;29;175;ABREGO;;;
421;SABER1120121000176;56;59;50;50;55;47;52;52;176;CHOACHI;;;
330;SABER1120121000177;50;43;38;26;46;45;36;46;177;CAJAMARCA;;;
376;SABER1120121000178;59;49;45;39;48;44;49;43;178;UNION PANAMERICANA;;;
345;SABER1120121000179;50;46;49;34;42;41;44;39;179;ATRATO (YUTO);;;
342;SABER1120121000180;52;49;42;29;30;50;50;40;180;HATO COROZAL;;;
366;SABER1120121000181;52;40;51;46;46;41;44;46;181;PUPIALES;;;
355;SABER1120121000182;44;43;49;46;42;47;42;42;182;SAN VICENTE;;;
384;SABER1120121000183;59;51;49;43;51;45;46;40;183;PUERTO ASIS;;;
302;SABER1120121000184;46;30;48;31;33;35;42;37;184;SINCE;;;
493;SABER1120121000185;63;78;53;61;53;62;71;52;185;CORINTO;;;
394;SABER1120121000186;56;54;56;47;49;46;51;35;186;MORALES;;;
346;SABER1120121000187;50;46;38;32;48;47;42;43;187;EL DONCELLO;;;
369;SABER1120121000188;48;55;49;42;46;50;42;37;188;YUMBO;;;
307;SABER1120121000189;44;46;44;29;44;39;44;17;189;COROZAL;;;
353;SABER1120121000190;52;47;42;29;46;41;45;51;190;TENJO;;;
375;SABER1120121000191;52;46;45;52;56;44;43;37;191;ZIPAQUIRA;;;
355;SABER1120121000192;54;46;47;43;44;43;39;39;192;ROLDANILLO;;;
355;SABER1120121000193;50;37;36;36;47;48;54;47;193;MELGAR;;;
376;SABER1120121000194;46;43;51;37;53;54;47;45;194;CALIMA (DARIEN);;;
432;SABER1120121000195;50;71;51;45;51;59;66;39;195;PRADERA;;;
360;SABER1120121000196;46;44;44;50;42;42;49;43;196;EL LITORAL DEL SAN JUAN;;;
307;SABER1120121000197;50;37;44;36;45;40;24;31;197;ACEVEDO;;;
406;SABER1120121000198;48;57;53;46;53;47;54;48;198;URIBIA;;;
328;SABER1120121000199;46;43;42;34;42;47;39;35;199;PUERTO CAICEDO;;;
304;SABER1120121000200;48;37;42;37;29;41;39;31;200;MOCOA;;;
310;SABER1120121000201;35;43;40;43;42;35;32;40;201;SANTA LUCIA;;;
414;SABER1120121000202;59;51;57;48;55;52;50;42;202;EL ROSAL;;;
457;SABER1120121000203;61;62;51;43;53;60;52;75;203;SANTA ISABEL;;;
323;SABER1120121000204;50;37;48;32;51;35;39;31;204;CALDONO;;;
302;SABER1120121000205;56;25;42;32;37;40;33;37;205;SAN AGUSTIN;;;
299;SABER1120121000206;46;37;31;37;46;35;28;39;206;COROMORO;;;
334;SABER1120121000207;48;18;48;54;44;37;42;43;207;RIOSUCIO;;;
298;SABER1120121000208;48;34;40;36;33;32;44;31;208;VILLAMARIA;;;
271;SABER1120121000209;39;24;38;30;30;40;37;33;209;MALAGA;;;
374;SABER1120121000210;54;44;49;48;46;47;49;37;210;MONTELIBANO;;;
347;SABER1120121000211;48;43;44;34;51;36;44;47;211;CIENAGA;;;
332;SABER1120121000212;41;25;44;45;49;40;46;42;212;SAN JUAN DEL CESAR;;;
390;SABER1120121000213;50;47;53;36;45;45;46;68;213;EL RETEN;;;
282;SABER1120121000214;41;41;39;33;26;42;29;31;214;EL BANCO;;;
309;SABER1120121000215;46;46;31;26;42;43;42;33;215;PINILLOS;;;
256;SABER1120121000216;32;18;24;38;40;42;33;29;216;EL PEÑON;;;
279;SABER1120121000217;38;43;31;30;20;42;40;35;217;CUASPUD (CARLOSAMA);;;
299;SABER1120121000218;44;40;44;32;30;42;36;31;218;CORDOBA;;;
303;SABER1120121000219;32;41;41;38;37;44;33;37;219;CUMBAL;;;
366;SABER1120121000220;52;52;42;47;36;45;42;50;220;PUERRES;;;
335;SABER1120121000221;41;40;47;37;51;38;36;45;221;GUALMATAN;;;
292;SABER1120121000222;46;47;31;37;36;35;23;37;222;MANI;;;
301;SABER1120121000223;46;46;36;27;40;40;37;29;223;PIENDAMO;;;
332;SABER1120121000224;50;37;45;43;42;40;44;31;224;ARROYOHONDO;;;
275;SABER1120121000225;39;29;38;26;34;33;39;37;225;EL PLAYON;;;
332;SABER1120121000226;41;44;44;41;47;45;37;33;226;SABANETA;;;
306;SABER1120121000227;44;47;42;23;42;48;37;23;227;RETIRO;;;
259;SABER1120121000228;44;33;31;22;33;21;32;43;228;AMAGA;;;
313;SABER1120121000229;46;41;34;18;46;45;50;33;229;PUERTO BERRIO;;;
350;SABER1120121000230;39;46;45;33;56;55;37;39;230;MANAURE;;;
369;SABER1120121000231;59;44;51;50;39;45;39;42;231;MOTAVITA;;;
306;SABER1120121000232;41;37;40;39;39;42;33;35;232;GARZON;;;
277;SABER1120121000233;41;18;38;23;42;38;40;37;233;ICONONZO;;;
339;SABER1120121000234;50;43;47;42;51;35;16;55;234;TUCHÍN;;;
270;SABER1120121000235;39;37;28;26;36;37;36;31;235;SAMPUES;;;
323;SABER1120121000236;48;40;38;29;46;40;39;43;236;AQUITANIA;;;
301;SABER1120121000237;41;37;33;22;36;43;47;42;237;GIRARDOT;;;
323;SABER1120121000238;41;37;40;27;37;47;52;42;238;CHINU;;;
307;SABER1120121000239;38;34;36;36;46;39;47;31;239;MONTENEGRO;;;
311;SABER1120121000240;48;46;49;37;34;33;33;31;240;YOTOCO;;;
295;SABER1120121000241;50;49;28;27;49;45;7;40;241;SUSA;;;
410;SABER1120121000242;54;46;53;44;49;61;42;61;242;ALCALA;;;
270;SABER1120121000243;50;34;31;23;40;29;37;26;243;SALAMINA;;;
294;SABER1120121000244;38;46;38;26;37;38;36;35;244;CUITIVA;;;
272;SABER1120121000245;41;37;40;29;30;33;36;26;245;VENADILLO;;;
345;SABER1120121000246;35;37;51;37;46;60;39;40;246;GRANADA;;;
327;SABER1120121000247;52;51;42;27;42;42;24;47;247;ZARZAL;;;
307;SABER1120121000248;41;40;38;26;42;49;29;42;248;GACHANTIVA;;;
299;SABER1120121000249;48;51;0;35;44;37;45;39;249;BARANOA;;;
306;SABER1120121000250;46;49;36;40;33;41;28;33;250;MALAMBO;;;
339;SABER1120121000251;41;52;40;41;45;40;43;37;251;SABANAGRANDE;;;
328;SABER1120121000252;48;51;38;39;34;36;42;40;252;PUERTO COLOMBIA;;;
288;SABER1120121000253;41;37;33;17;42;37;48;33;253;CERRO SAN ANTONIO;;;
339;SABER1120121000254;52;46;33;46;44;42;36;40;254;SABANA DE TORRES;;;
392;SABER1120121000255;52;44;49;44;51;41;48;63;255;LOS PALMITOS;;;
321;SABER1120121000256;48;40;44;36;39;35;44;35;256;VALLE DE SAN JOSE;;;
380;SABER1120121000257;46;46;54;46;49;50;47;42;257;PALERMO;;;
294;SABER1120121000258;38;46;36;39;44;40;25;26;258;CONSACA;;;
330;SABER1120121000259;54;46;38;41;51;40;9;51;259;CIENEGA;;;
354;SABER1120121000260;52;46;44;43;51;44;43;31;260;GUADUAS;;;
324;SABER1120121000261;52;29;49;39;49;29;32;45;261;SANTO DOMINGO;;;
354;SABER1120121000262;48;55;42;39;46;43;44;37;262;GUAMO;;;
289;SABER1120121000263;44;37;31;19;42;40;37;39;263;POLICARPA;;;
382;SABER1120121000264;54;49;53;41;40;52;54;39;264;GALERAS (NUEVA GRANADA);;;
313;SABER1120121000265;41;52;40;23;42;38;37;40;265;ANZOATEGUI;;;
298;SABER1120121000266;44;40;34;34;44;40;29;33;266;APIA;;;
310;SABER1120121000267;41;37;40;29;46;42;42;33;267;BUESACO;;;
274;SABER1120121000268;35;46;40;26;21;26;47;33;268;LORICA;;;
359;SABER1120121000269;50;44;48;31;49;49;42;46;269;TUQUERRES;;;
366;SABER1120121000270;52;40;49;36;44;45;57;43;270;MAGANGUE;;;
327;SABER1120121000271;46;43;52;27;37;42;40;40;271;AGUAZUL;;;
387;SABER1120121000272;46;48;51;49;55;44;51;43;272;GIGANTE;;;
357;SABER1120121000273;48;39;53;28;45;47;51;46;273;LA MONTAÑITA;;;
418;SABER1120121000274;65;57;46;49;49;47;54;51;274;DIBULLA;;;
364;SABER1120121000275;41;42;48;52;41;56;51;33;275;TOTA;;;
381;SABER1120121000276;46;45;44;49;51;42;61;43;276;TERUEL;;;
312;SABER1120121000277;41;39;37;45;43;42;34;31;277;CHINACOTA;;;
338;SABER1120121000278;44;43;44;33;40;45;43;46;278;MARSELLA;;;
302;SABER1120121000279;35;37;42;34;46;41;32;35;279;SOTAQUIRA;;;
402;SABER1120121000280;56;46;52;45;45;53;52;53;280;RECETOR;;;
398;SABER1120121000281;56;43;52;37;55;52;57;46;281;HONDA;;;
412;SABER1120121000282;59;57;47;50;49;59;46;45;282;RESTREPO;;;
427;SABER1120121000283;52;59;50;48;54;59;60;45;283;BOJAYA (BELLAVISTA);;;
326;SABER1120121000284;44;40;42;35;44;39;42;40;284;NUEVO COLON;;;
329;SABER1120121000285;44;30;44;37;44;49;39;42;285;PUERTO BOYACA;;;
298;SABER1120121000286;35;43;44;32;42;36;29;37;286;BARBOSA;;;
358;SABER1120121000287;50;49;48;31;46;47;44;43;287;CERINZA;;;
429;SABER1120121000288;46;54;50;48;54;53;52;72;288;AGUACHICA;;;
458;SABER1120121000289;63;49;51;61;63;62;44;65;289;BARRANCAS;;;
374;SABER1120121000290;52;33;47;50;53;42;49;48;290;GARAGOA;;;
360;SABER1120121000291;46;51;49;34;46;44;42;48;291;BELEN DE UMBRIA;;;
398;SABER1120121000292;54;52;51;39;51;54;52;45;292;ALGARROBO;;;
380;SABER1120121000293;48;51;55;35;51;39;51;50;293;AGRADO;;;
434;SABER1120121000294;59;57;60;45;51;50;57;55;294;FLORIAN;;;
442;SABER1120121000295;59;57;56;42;49;71;65;43;295;LA GLORIA;;;
348;SABER1120121000296;44;37;44;36;46;47;47;47;296;SACAMA;;;
399;SABER1120121000297;52;46;49;52;51;55;54;40;297;SAN JOSE DEL FRAGUA;;;
300;SABER1120121000298;44;37;36;31;42;45;36;29;298;ALGECIRAS;;;
330;SABER1120121000299;48;37;41;37;46;46;36;39;299;RONCESVALLES;;;
358;SABER1120121000300;56;55;48;30;49;40;37;43;300;ARAUCA;;;
325;SABER1120121000301;48;43;34;42;44;41;42;31;301;SOCHA;;;
343;SABER1120121000302;54;46;45;41;34;47;33;43;302;VELEZ;;;
397;SABER1120121000303;52;52;42;41;46;62;54;48;303;CUMARIBO;;;
359;SABER1120121000304;46;47;39;49;51;43;45;39;304;TAME;;;
465;SABER1120121000305;63;62;54;53;62;60;52;59;305;LA PAZ (ROBLES);;;
443;SABER1120121000306;52;54;56;57;56;53;60;55;306;TASCO;;;
381;SABER1120121000307;50;43;60;41;53;47;47;40;307;LA TEBAIDA;;;
337;SABER1120121000308;50;46;48;42;44;39;28;40;308;TARQUI;;;
368;SABER1120121000309;56;37;48;46;49;45;44;43;309;CHIQUINQUIRA;;;
351;SABER1120121000310;54;24;60;40;42;41;51;39;310;BOCHALEMA;;;
409;SABER1120121000311;50;51;57;46;58;52;52;43;311;SANDONA;;;
339;SABER1120121000312;48;34;47;41;51;38;43;37;312;SOATA;;;
327;SABER1120121000313;46;51;40;38;26;38;46;42;313;LA MESA;;;
324;SABER1120121000314;50;49;44;37;44;44;33;23;314;CABRERA;;;
380;SABER1120121000315;48;51;42;49;44;53;51;42;315;PUENTE NACIONAL;;;
364;SABER1120121000316;54;40;48;45;45;47;43;42;316;MONGUI;;;
319;SABER1120121000317;44;46;44;29;36;50;39;31;317;YONDO (CASABE);;;
339;SABER1120121000318;39;43;51;31;44;41;57;33;318;CONFINES;;;
307;SABER1120121000319;50;33;46;26;42;42;39;29;319;BELEN DE LOS ANDAQUIES;;;
454;SABER1120121000320;59;65;50;48;58;50;54;70;320;MITU;;;
371;SABER1120121000321;56;42;39;45;45;49;42;53;321;TRINIDAD;;;
467;SABER1120121000322;48;54;69;63;54;57;52;70;322;LA LLANADA;;;
372;SABER1120121000323;52;46;45;40;44;45;45;55;323;TOLU;;;
371;SABER1120121000324;50;46;38;41;46;43;44;63;324;PUERTO SALGAR;;;
501;SABER1120121000325;63;68;58;55;58;56;66;77;325;UMBITA;;;
432;SABER1120121000326;52;62;49;46;44;50;57;72;326;BUGALAGRANDE;;;
468;SABER1120121000327;59;57;58;55;51;56;57;75;327;CIRCASIA;;;
502;SABER1120121000328;61;65;60;58;60;56;59;83;328;CUMBITARA;;;
438;SABER1120121000329;54;41;48;48;54;57;66;70;329;OICATA;;;
458;SABER1120121000330;50;68;47;48;53;62;55;75;330;ARMERO (GUAYABAL);;;
443;SABER1120121000331;61;52;44;55;53;44;54;80;331;PUERTO LOPEZ;;;
